2023-04-26 00:14:51,326 INFO    MainThread:29221 [wandb_setup.py:_flush():76] Configure stats pid to 29221
2023-04-26 00:14:51,327 INFO    MainThread:29221 [wandb_setup.py:_flush():76] Loading settings from /home1/mganesh/.config/wandb/settings
2023-04-26 00:14:51,327 INFO    MainThread:29221 [wandb_setup.py:_flush():76] Loading settings from /scratch2/mganesh/MetaMedSeg/MetaMedSeg/wandb/settings
2023-04-26 00:14:51,327 INFO    MainThread:29221 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-26 00:14:51,327 INFO    MainThread:29221 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-26 00:14:51,327 INFO    MainThread:29221 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'experiment_runner.py', 'program': 'experiment_runner.py'}
2023-04-26 00:14:51,327 INFO    MainThread:29221 [wandb_init.py:_log_setup():507] Logging user logs to /scratch2/mganesh/MetaMedSeg/MetaMedSeg/wandb/run-20230426_001451-myxd7vft/logs/debug.log
2023-04-26 00:14:51,327 INFO    MainThread:29221 [wandb_init.py:_log_setup():508] Logging internal logs to /scratch2/mganesh/MetaMedSeg/MetaMedSeg/wandb/run-20230426_001451-myxd7vft/logs/debug-internal.log
2023-04-26 00:14:51,327 INFO    MainThread:29221 [wandb_init.py:init():547] calling init triggers
2023-04-26 00:14:51,327 INFO    MainThread:29221 [wandb_init.py:init():555] wandb.init called with sweep_config: {}
config: {'tasks_per_iteration': 5, 'num_shots': 15, 'outer_epochs': 25, 'inner_epochs': 20, 'inner_lr': 0.01, 'meta_lr': 0.01, 'inner_wd': 0.003, 'meta_wd': 0.001, 'inter_epoch_decay': False, 'meta_decay': False, 'val_shots': 5, 'batch_size': 1, 'loss_type': 'iou', 'scheduler': 'exp', 'val_size': 0.1, 'weighted_update_type': None, 'scheduler_params': {'gamma': 0.8}, 'invert_weights': False, 'norm_type': 'instance', 'chart_name': 'Amphibian-U-Net-AW', 'alpha': 0.2}
2023-04-26 00:14:51,328 INFO    MainThread:29221 [wandb_init.py:init():595] starting backend
2023-04-26 00:14:51,328 INFO    MainThread:29221 [wandb_init.py:init():599] setting up manager
2023-04-26 00:14:51,332 INFO    MainThread:29221 [backend.py:_multiprocessing_setup():108] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-04-26 00:14:51,337 INFO    MainThread:29221 [wandb_init.py:init():605] backend started and connected
2023-04-26 00:14:51,344 INFO    MainThread:29221 [wandb_init.py:init():695] updated telemetry
2023-04-26 00:14:51,344 INFO    MainThread:29221 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-04-26 00:14:51,614 INFO    MainThread:29221 [wandb_run.py:_on_init():2176] communicating current version
2023-04-26 00:14:51,645 INFO    MainThread:29221 [wandb_run.py:_on_init():2185] got version response 
2023-04-26 00:14:51,645 INFO    MainThread:29221 [wandb_init.py:init():782] starting run threads in backend
2023-04-26 00:14:58,833 INFO    MainThread:29221 [wandb_run.py:_console_start():2157] atexit reg
2023-04-26 00:14:58,834 INFO    MainThread:29221 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-04-26 00:14:58,834 INFO    MainThread:29221 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-04-26 00:14:58,834 INFO    MainThread:29221 [wandb_run.py:_redirect():2102] Redirects installed.
2023-04-26 00:14:58,835 INFO    MainThread:29221 [wandb_init.py:init():824] run started, returning control to user process
2023-04-26 00:46:54,202 WARNING MsgRouterThr:29221 [router.py:message_loop():77] message_loop has been closed
